#t NTNS TNS NTS TS 
0 0.0 0.0 0.0 0.0 
1 0.0 0.0 0.0 0.0 
2 0.0 0.0 0.1543330947 0.1543330947 
3 0.0 0.0 0.0 0.0 
4 0.0 0.0 0.0 0.0 
5 0.0 0.0 0.0 0.0 
6 0.0 0.0 0.0 0.0 
7 0.0 0.0 0.0 1.1767507558 
8 0.0 0.0 0.0 0.0 
9 0.0 0.0 0.4711639983 0.0 
10 0.0 0.0 0.0 0.0 
11 0.0 0.0 0.0427398017 0.0 
12 0.0 0.0 0.3500712617 0.3500712617 
13 0.0 0.0 1.0083575174 1.0083575174 
14 1.7 0.0 1.5464769432 0.0 
15 2.5 0.0 2.0120405751 0.0 
16 8.7 0.0 8.9879439508 0.0 
17 18.1 0.0 16.7644611263 0.0 
18 19.9 0.0 25.4889305535 1.2684305898 
19 26.0 0.0 20.0099477964 3.6003461108 
20 44.5 0.0 22.9311045953 1.2737074636 
21 53.5 0.0 36.2388599191 0.0 
22 14.5 0.0 46.7753866966 0.0 
23 15.4 0.0 11.8118507971 0.0 
24 23.3 0.0 19.2328411112 5.6635699945 
25 19.6 0.0 23.4970542099 1.5892675879 
26 26.0 0.0 25.0385686405 0.5278059505 
27 44.5 0.0 32.4352885373 4.4996794607 
28 55.0 0.0 53.5300437742 3.1815188529 
29 18.5 0.0 66.4316725094 0.0 
30 15.4 0.0 20.3930523826 2.5291453247 
31 23.3 0.0 5.8986414221 7.1345979688 
32 19.6 0.0 14.8077806018 0.9720531319 
33 26.0 0.0 22.4068970771 0.0 
34 44.5 0.0 34.0221724832 0.0 
35 55.0 0.0 53.5229737857 1.5530816382 
36 18.5 0.0 72.7170233222 3.6336863556 
37 15.4 0.0 20.1382198464 1.6787306742 
38 23.3 0.0 13.4038983323 1.7211281626 
39 19.6 0.0 18.4664161925 0.0 
40 26.0 0.0 8.3070128613 0.0 
41 44.5 0.0 29.1793557302 0.0875294094 
42 55.0 0.0 49.4802617704 7.2171402616 
43 18.5 6.6 61.1902407075 3.7848126187 
44 15.4 0.0 20.5390692845 0.868946603 
45 23.3 0.0 3.689890069 0.4358103946 
46 19.6 0.0 14.9881702407 0.3902925185 
47 26.0 0.0 14.0665332011 0.1923182554 
48 44.5 0.0 25.7958290565 0.0 
49 55.0 0.0 42.5130712518 0.7930942428 
